Word,Frequncy
and,103
of,94
the,78
.,75
is,56
in,55
to,51
a,46
The,33
with,32
for,31
you,26
-,23
food,22
it,21
⁠,21
👉👉,20
Verified,19
Coffee,16
on,13
get,13
have,13
from,12
your,12
fun,12
It,11
are,11
#food,11
😍,11
food_e_aazam,10
was,10
has,10
an,10
dilsefoodie,10
#yum,10
food_hacks_05,10
Follow,10
@food_hacks_05,10
🍴🍕🍔,10
facts,10
Use,10
hashtag,10
#⃣,10
#food_hacks_05,10
featured...,10
foodtalkindia,9
or,9
also,9
#dilsefoodie,9
Food,9
wheat,9
lakh,9
May,9
&,8
perfect,8
be,8
can,8
at,8
as,8
by,8
.......................................................,8
Price,7
that,7
about,7
2d,7
1w,7
#recipes,6
milk,6
A,6
this,6
drink,6
all,6
4d,6
many,6
its,6
most,6
one,6
state,6
risk,6
no,5
so,5
Verdict,5
coffee,5
great,5
not,5
we,5
more,5
may,5
1.,5
up,5
rum,5
2.,5
3.,5
4.,5
world,5
their,5
who,5
which,5
This,5
And,5
#foodphotography,5
#foodie,5
net,5
#quiz,5
#quizinstagram,5
#quizz,5
#quizzes,5
#food_hacks_05quiz,5
#answer,5
#instafood,5
#foods,5
vitamin,5
sugar,4
#foodblogger,4
#instagood,4
#icecream,4
8/10,4
cup,4
Hazelnut,4
nuts,4
too.,4
there,4
without,4
Also,4
only,4
need,4
like,4
5.,4
where,4
3d,4
Your,4
From,4
day,4
some,4
What,4
need:,4
before,4
You,4
World,4
1d,4
In,4
#cheese,4
#healthyfood,4
#foodporn,4
tons,4
than,4
cultivated,4
Guava,4
Janmashtami,4
mix,4
#cheffeine,4
ghee,4
chopped,4
Pumpkin,4
Homemade,3
chocolate,3
#chocolate,3
So,3
had,3
little,3
but,3
summer,3
then,3
delicious,3
18w,3
Fish,3
Milk,3
honey,3
were,3
crispy,3
Garlic,3
water,3
Chicken,3
One,3
dry,3
first,3
Happy,3
National,3
Rum,3
used,3
When,3
over,3
There,3
just,3
into,3
bar,3
new,3
good,3
safety,3
They,3
while,3
Now,3
take,3
For,3
Delhi,3
since,3
5d,3
Thai,3
With,3
top,3
Good,3
do,3
each,3
keep,3
must,3
Beers,3
would,3
it's,3
straight,3
Soyachaap,3
At,3
To,3
made,3
#eat,3
#love,3
#foodiesofinstagram,3
Uttar,3
per,3
states,3
India,3
India.,3
produces,3
wheat.,3
grown,3
hectares,3
8,3
.....................................................,3
content,3
Help,3
6.,3
#instagram,3
fruit,3
part,3
called,3
sweet,3
around,3
mango,3
C,3
been,3
Krishna,3
#yummy,3
OF,3
helps,3
reduces,3
...............................................................,3
1,3
bottle,3
pan,3
add,3
#india_ig,3
#nothingisordinary,3
#igfood,3
#foodilicious,3
#foodstyling,3
Pumpkins,3
Day,3
Chocolate,2
ganache,2
#brownie,2
#chocolatecake,2
#dessert,2
#foodstagram,2
5w,2
Ice,2
cream,2
#cookies,2
Korean,2
Dalgrak,2
"delicious,",2
absolutely,2
cold,2
full,2
Chocoholic,2
mousse,2
Tiramisu,2
delicious.,2
ice,2
Latte,2
amazing,2
❤️,2
time,2
Diggin,2
fried,2
Chilli,2
peanut,2
very,2
juicy,2
butter,2
19w,2
Annie's,2
serve,2
chicken,2
sometimes,2
5h,2
5,2
reasons,2
enjoy,2
ever,2
being,2
favorite,2
breakfast,2
becomes,2
Courtsey,2
blend,2
modern,2
offering,2
dining,2
preparing,2
food.,2
open,2
delivery,2
/,2
us,2
6,2
should,2
behind,2
Take,2
Avocado,2
Bo,2
Tai,2
give,2
6d,2
I,2
International,2
celebrate,2
beer,2
Flip,2
Cup,2
cups,2
teams,2
drinks,2
First,2
player,2
counting,2
number,2
If,2
Most,2
likely,2
person,2
tough,2
paper,2
face.,2
Is,2
Episode,2
Of,2
Makhani,2
Biryani,2
Amazing,2
:,2
Burger,2
Ji,2
By,2
Experience,2
Awesome,2
City,2
Samsung,2
Cheesy,2
Pasand,2
Hai,2
North,2
Wala,2
dish,2
#delish,2
#cheesy,2
23h,2
📸:,2
#summer,2
#foodpics,2
Don’t,2
left,2
if,2
you’re,2
#tasty,2
Butter,2
Grilled,2
#avocado,2
#butter,2
Have,2
largest,2
producing,2
our,2
Pradesh,2
area,2
contributes,2
agriculture,2
Pradesh:,2
state.,2
out,2
production,2
major,2
dietary,2
amazingly,2
Health,2
Boost,2
7.,2
8.,2
...........................................................,2
country’s,2
history.,2
world.,2
Mangoes,2
tropical,2
fruits,2
As,2
Mango,2
widely,2
"India,",2
mangoes.,2
shapes,2
famous,2
Indian,2
taste,2
said,2
festival,2
"food,",2
incomplete,2
Maakhan,2
prepare,2
#delicious,2
(or,2
COFFEE,2
lose,2
weight.,2
lowers,2
protects,2
high,2
LAUKI,2
BURFI,2
1/2,2
grated,2
gourd,2
tbsp,2
cardamom,2
well,2
absorbed,2
Then,2
Once,2
halwa,2
cool,2
#india,2
#indianfood,2
#foodinfo,2
#foodlover,2
@food_food_delhi,2
vegetable,2
healthy,2
..........................................................,2
#amazing,2
celebrated,2
every,2
year,2
Agriculture,2
theme,2
20th,2
Conference,2
Hungarian,2
Ice-cream,2
Fudgy,1
Cake,1
whipped,1
frosting,1
🥧🍫🎂❤️,1
No,1
"maida,",1
refined,1
🌾🌼,1
#cake,1
#cakerecipe,1
#ganache,1
#chocolateganache,1
#healthycake,1
#wholewheatcake,1
4w,1
almond,1
brownies,1
❤️🍫💕🍨,1
#almondbrownies,1
#brownies,1
#homemadebrownies,1
Oreo,1
🍨🍦🍧🍫🥄💗,1
#oreo,1
#cookiesandcream,1
#homemadeicecream,1
#vanilla,1
Spicy,1
Rameyeon,1
🍜🌶️,1
"spicy,",1
weather.,1
soup,1
flavour,1
too,1
👌🍜🧡,1
₹270,1
12w,1
cake,1
Theobroma,1
🍰💕,1
three,1
layers,1
chocolate;,1
"white,",1
dark,1
top.,1
smooth,1
💗,1
tiramisu,1
proportion,1
mascarpone,1
ladyfinger,1
"biscuits,",1
tasting,1
less,1
bitterness,1
nonetheless.,1
Mousse,1
₹125,1
₹120,1
17w,1
Flakes,1
Bingsu,1
🍧,1
dessert.,1
It's,1
tower,1
creamy,1
shaved,1
texture,1
fluffy,1
snow.,1
That,1
snowdrift-in-a-bowl,1
crowned,1
choice,1
"topping,",1
traditionally,1
red,1
"beans,",1
case,1
🍫❤️.,1
wonderfully,1
❄️,1
₹370,1
Chips,1
Cha,1
Bar🥛☕,1
chips,1
Soft,1
tartar,1
sauce.,1
They're,1
consistent,1
quality,1
tho.,1
second,1
visited,1
"Latte,",1
nuts.,1
Fried,1
Prawns,1
Calamari,1
💛🍤🦑❤️,1
Beautiful,1
golden,1
prawns,1
squid,1
served,1
jalapeño,1
dip,1
💕.,1
fries,1
awesome,1
personal,1
favourite,1
🍝,1
₹415,1
Rating,1
9/10,1
Veg,1
Dimsum,1
Call,1
Asian,1
🥟🌶️,1
These,1
dimsums,1
filling,1
"carrots,",1
"corn,",1
"celery,",1
"butter,",1
"chestnut,",1
coriander,1
chili,1
❤️.,1
paired,1
perfectly,1
chilli,1
oil,1
dip.,1
Could've,1
done,1
though.,1
₹225,1
65,1
Kerela,1
Kitchen,1
"Spicy,",1
"outside,",1
near,1
65.,1
savory,1
papad,1
topping,1
curry,1
leaves,1
makes,1
even,1
scrumptious,1
💕,1
backdrop,1
juicy.,1
depends.,1
₹160,1
7.5/10,1
#NewInTown,1
@jadeforestin,1
Has,1
created,1
India’s,1
Elderflower,1
Tonic,1
Water.,1
launched,1
Grapefruit,1
tonic,1
Club,1
Soda,1
Pre,1
Order.,1
Link,1
bio,1
:),1
#HomeGrown,1
Day!,1
🍸,1
fans,1
lovers,1
it’s,1
cult,1
following.,1
Here,1
why,1
life...,1
Hello,1
desserts,1
Not,1
"drink,",1
whip,1
delights,1
raisin,1
"cake,",1
truffles.,1
Goes,1
everything,1
comes,1
enjoying,1
never,1
fret,1
mixers.,1
Holiday,1
throwback,1
something,1
tastes,1
tropical.,1
All,1
those,1
cocktails,1
Mai,1
"Tai,",1
"Hurricane,",1
"Mojito,",1
Dark,1
‘N’,1
"Stormy,",1
Zombie…the,1
ways,1
basically,1
endless.,1
Available,1
everywhere,1
chance,1
walking,1
anywhere,1
able,1
fix.,1
We,1
believe,1
"strangers,",1
friends,1
haven't,1
met,1
yet!,1
"conversations,",1
vibes,1
spirits!,1
‘Always,1
Mix,1
in’!,1
#Jameson,1
#IrishWhiskey,1
#AlwaysInToMixIn,1
@jamesonwhiskey,1
#TrendTalk,1
internet’s,1
newest,1
homemade,1
bowl,1
miniature,1
croissants,1
“Mini,1
Croissant,1
Cereal”,1
rave,1
social,1
media!,1
Picture,1
Insider,1
Enjoy,1
#farzi,1
specials,1
comfort,1
home.,1
@farzicafe,1
‘s,1
menu,1
culinary,1
techniques,1
molecular,1
gastronomy,1
presentation,1
styles,1
high-energy,1
experience.,1
utmost,1
priority.,1
taking,1
precautions,1
delivering,1
"dine-in,",1
"away,",1
delivery.,1
takeaway,1
call:,1
+91,1
7259400900,1
7259600900,1
Trigger,1
Warning:,1
Incident,1
caught,1
camera,1
wine,1
shop,1
"Rohini,",1
New,1
Ever,1
‘Home’,1
become,1
BAR,1
"pandemic,",1
rounded,1
home,1
essentials,1
always,1
bar.,1
look...,1
🍸🍹,1
Shop,1
now,1
via,1
@thebartools,1
Cosmopolitan,1
Italian,1
design,1
vibrance,1
"hues,",1
@_botai,1
grill,1
concept,1
opened,1
door,1
again!,1
roti,1
Canai,1
Parched,1
Liang,1
"kham,",1
sure,1
unmatched,1
experience,1
authentic,1
stress-free,1
hygiene,1
"priority,",1
gastronomic,1
voyage!,1
Dine,1
"in,",1
away.,1
the_bongcolleen,1
find,1
someone,1
hates,1
sushi,1
much,1
😬🤣,1
1w10,1
likesReply,1
Beer,1
"Day,",1
folks!,1
fizzy,1
"glory,",1
games…,1
🍻,1
#InternationalBeerDay,1
#beerstagram,1
"Beers,",1
starter,1
house,1
party!,1
two,1
competing,1
against,1
other.,1
Both,1
stand,1
opposite,1
sides,1
table,1
edge.,1
Everyone,1
finish,1
flip,1
"cup,",1
upside-down,1
next,1
member,1
begins.,1
team,1
complete,1
wins.,1
Buzz-,1
easiest,1
"games,",1
starts,1
says,1
"aloud,",1
except,1
7,1
"multiples,",1
"case,",1
say,1
buzz.,1
"don't,",1
beer.,1
Simple!,1
Likely,1
group,1
sits,1
circle,1
asks,1
'most,1
likely',1
question.,1
"example,",1
"""Who",1
fart,1
front,1
"strangers?""",1
After,1
"three,",1
everyone,1
points,1
they,1
think,1
so.,1
maximum,1
fingers,1
pointed,1
"them,",1
Beers.,1
Straight,1
Face,1
"drunk,",1
face,1
game,1
challenges,1
that.,1
write,1
funny,1
inappropriate,1
sentences,1
small,1
pieces,1
ones,1
read,1
keeping,1
Each,1
picks,1
chit,1
tries,1
giggles,1
reacts,1
beer!,1
Image,1
Thrillist,1
Mental,1
Floss,1
US,1
News,1
Report,1
Freepik,1
Matador,1
Network,1
Meet,1
Agrrim,1
Who,1
Suffering,1
Blood,1
Cancer,1
Surprise,1
Birthday,1
Party,1
Lunch,1
Subscriber,1
6h,1
Can,1
Buy,1
Amazon,1
Search,1
Desi,1
Treat,1
items.,1
Total,1
Bill,1
Rs.106000,1
Had,1
Salami,1
Veer,1
"Burger,",1
Geeta,1
Colony,1
Lamb,1
Chops,1
Without,1
Tandoor,1
Recipe,1
@chefmahendraraj,1
London,1
discover,1
Awesomeness,1
Karan,1
Dua,1
exclusively,1
Radio,1
City.,1
#AwesomenessWithSamsung,1
#AwesomeCity,1
#GalaxyA31,1
#GalaxyA51,1
Maggi,1
@chatpati_shikha,1
Mujhe,1
Ek,1
Dum,1
Simple,1
Wali,1
Aap,1
Batao,1
Apko,1
Kaisi,1
?,1
Car,1
Restaurant,1
Opposite,1
Permanand,1
Hospital,1
DugDugDug,1
2,1
Pritam,1
Meat,1
Taste,1
Reasonable,1
Bhagwan,1
Das,1
Ke,1
Bheege,1
Kulche,1
Oh,1
Hoo,1
Maza,1
Agya,1
Tha,1
Khaa,1
Kar.,1
Video,1
Recorded,1
Before,1
Corona,1
Pandemic.,1
Shiv,1
Tikki,1
"Karkardooma,",1
East,1
Was,1
Damn,1
Specially,1
Kathi,1
Kebab,1
Pav,1
Bhaji.,1
@salnapoli,1
serving,1
@importantfoods,1
pasta,1
🍝⁠,1
#pasta,1
#mozzarella,1
#tomatosauce,1
#sauce,1
#feedfeed,1
#comfortfood,1
16h,1
Cream,1
Sandwiches,1
Herby,1
Cookies,1
@consttellattioninspration,1
#sweetandsavory,1
#sweet,1
#savory,1
#herby,1
#icecreamsandwich,1
Orange,1
glad,1
Friday?,1
@feedyourgirlfriend,1
#feedyourgirlfriend,1
#friday,1
#orange,1
#orangeslush,1
#slushy,1
#oj,1
#orangesoda,1
#cheers,1
Enjoying,1
gone,1
@niceeating⁠,1
#lobster,1
#lobsterrolls,1
#lobsterroll,1
#august,1
scroll,1
hungry,1
🥺,1
Thank,1
quintet,1
cheesy,1
"goodness,",1
"@hipfoodiemom1,",1
"@christinavlahoulis,",1
"@francescotonelli,",1
"@eatwithcare,",1
@beyondcurry,1
#cheesetoast,1
#nutrition,1
#toasty,1
#healthylifestyle,1
@sweetandsorrel,1
Thyme,1
Scallion,1
Pancakes,1
#scallion,1
#thyme,1
#scallionpancakes,1
#pancakes,1
#vegan,1
#veganfood,1
Browned,1
Peaches,1
Cinnamon,1
"""Toast""",1
Brioche,1
Crumbs,1
@halfbakedharvest,1
making,1
peaches,1
ASAP⁠,1
#peaches,1
#grilled,1
#brownedbutter,1
#cinnamontoast,1
#crumbs,1
@iamwellandgood,1
tried,1
it?,1
#garlic,1
#iamwellandgood,1
#healthyish,1
Talk,1
Glow,1
Up:,1
Burrata,1
Prosciutto,1
Cheese,1
🤩,1
@eating_longisland⁠,1
#burrata,1
#prosciutto,1
#grilledcheese,1
#glowup,1
#eating,1
#eeeeeats,1
grilled,1
avocado?,1
@spoonforkbacon,1
looks,1
delightful⁠,1
#grilling,1
#salad,1
#grillingseason,1
#spoonforkbacon,1
country,1
Pradesh.,1
stands,1
fourth,1
population-wise.,1
economy,1
mainly,1
cane.,1
Top,1
producer,1
1.Uttar,1
UP,1
wheat-producing,1
situated,1
river,1
basin,1
highly,1
fertile,1
Ganges.,1
300.010,1
96,1
Land,1
2.Punjab:,1
40,1
land,1
cultivation,1
35,1
hectare,1
land.,1
164.720,1
3.Haryana:,1
cultivate,1
116.30,1
25,1
4.Madhya,1
76.271,1
regions,1
MP,1
comprise,1
"Shore,",1
"Hoshangabad,",1
Vidisha,1
more.,1
5.Rajasthan:,1
72.145,1
ton,1
year.,1
cent,1
state's,1
total,1
production.,1
richest,1
#sources,1
#fiber.,1
Besides,1
"immunity,",1
guava,1
wonders,1
#skin,1
promotes,1
fertility.,1
#helps,1
regulating,1
metabolism,1
leads,1
#weight,1
#loss.,1
#fruits,1
#rich,1
"antioxidants,",1
#vitamin,1
"C,",1
#potassium,1
",",1
#and,1
fiber.,1
remarkable,1
#nutrient,1
gives,1
them,1
#many,1
#health,1
benefits.,1
#Benefits,1
Fruit,1
#Leaves,1
--,1
Lower,1
#Blood,1
#Sugar,1
Levels,1
Heart,1
Relieve,1
Painful,1
Symptoms,1
Menstruation,1
Benefit,1
#Digestive,1
System,1
Aid,1
Weight,1
Loss,1
Anticancer,1
Effect,1
Immunity,1
Eating,1
Guavas,1
Be,1
Skin,1
#guava,1
#tree,1
#amrood,1
#fruit,1
#insta,1
𝕄𝕒𝕟𝕘𝕠,1
𝕚𝕤,1
𝕒,1
ℕ𝕒𝕥𝕚𝕠𝕟𝕒𝕝,1
𝔽𝕣𝕦𝕚𝕥,1
𝕠𝕗,1
𝕀𝕟𝕕𝕚𝕒...,1
enriching,1
considerable,1
presence,1
religious,1
spiritual,1
heritage,1
country.,1
"Mango,",1
affectionately,1
King,1
Fruits,1
Its,1
fragrance,1
delectable,1
flavors,1
won,1
hearts,1
remain,1
national,1
represents,1
"prosperity,",1
abundance,1
richness,1
favor,1
image.,1
countries.,1
almost,1
"parts,",1
exception,1
hilly,1
areas.,1
rich,1
source,1
Vitamins,1
"A,",1
D.,1
hundreds,1
varieties,1
different,1
"sizes,",1
colors.,1
immemorial.,1
Even,1
mythology,1
history,1
stories,1
mangoes-,1
poet,1
Kalidasa,1
sang,1
praise.,1
Alexander,1
"great,",1
along,1
Hieun,1
Tsang,1
savored,1
Mughal,1
"king,",1
Akbar,1
planted,1
"100,000",1
trees,1
Darbhanga,1
(modern,1
Bihar).,1
eaten,1
ripe,1
pickles.,1
